OID,DCA_Code,Common_Name,Scientific_Name,Category
-1,12168,greenstriped looper,Melanolophia imitata,Defoliators
-1,12169,willow leaf blotchminer,Micrurapteryx salicifoliella,Defoliators
-1,12170,pine sawfly,Neodiprion autumnalis,Defoliators
-1,12171,pinyon sawfly,Neodiprion edulicolus,Defoliators
-1,12172,<Neodiprion gillettei>,Neodiprion gillettei,Defoliators
-1,12173,<Neodiprion ventralis>,Neodiprion ventralis,Defoliators
-1,12174,pine looper,Phaeoura mexicanaria,Defoliators
-1,12175,<Zadiprion rohweri>,Zadiprion rohweri,Defoliators
-1,12176,bull pine sawfly,Zadiprion townsendi,Defoliators
-1,12177,Douglas-fir budmoth,Zeiraphera hesperiana,Defoliators
-1,12178,western oak looper,Lambdina fiscellaria somniaria,Defoliators
-1,12179,phantom hemlock looper,Nepytia phantasmaria,Defoliators
-1,12180,tent caterpillars,Malacosoma spp.,Defoliators
-1,12181,Abbot's sawfly,Neodiprion abbotii,Defoliators
-1,12182,slash pine sawfly,Neodiprion merkeli,Defoliators
-1,12183,sand pine sawfly,Neodiprion pratti,Defoliators
-1,12184,melalueca leaf weevil,Oxyops vitiosa,Defoliators
-1,12185,cypress leaf beetle,Systena marginalis,Defoliators
-1,12186,<Nepytia janetae>,Nepytia janetae,Defoliators
-1,12187,agromyzid fly,Agromyza viridula,Defoliators
-1,12188,elm sawfly,Cimbex americana,Defoliators
-1,12190,hickory tussock moth,Lophocampa caryae,Defoliators
-1,12191,pin oak sawfly,Caliroa lineata,Defoliators
-1,12192,palmerworm,Dichomeris ligulella,Defoliators
-1,12193,pitch pine looper,Lambdina athasaria pellucidaria,Defoliators
-1,12194,red pine sawfly,Neodiprion nanulus nanulus,Defoliators
-1,12195,pine tube moth,Argyrotaenia pinatubana,Defoliators
-1,12196,baldcypress leafroller,Archips goyerana,Defoliators
-1,12197,winter moth,Operophtera brumata,Defoliators
-1,12198,basswood thrips,Neohydatothrips tiliae,Defoliators
-1,12199,noctuid moth,Xylomyges simplex,Defoliators
-1,12200,ash leafroller,Palpita magniferalis,Defoliators
-1,12201,Pacific silver fir budmoth,Zeiraphera spp.,Defoliators
-1,12202,red pine needle midge,Thecodiplosis piniresinosae,Defoliators
-1,12203,western hemlock looper,Lambdina fiscellaria lugubrosa,Defoliators
-1,12204,lodgepole pine sawfly,Neodiprion nanulus contortae,Defoliators
-1,12205,silverspotted tiger moth,Lophocampa argentata,Defoliators
-1,12206,green alder sawfly,Monsoma pulveratum,Defoliators
-1,12207,conifer sawflies,Neodiprion spp.,Defoliators
-1,12208,ambermarked birch leafminer,Profenusa thomsoni,Defoliators
-1,12209,cycad blue butterfly,Chilades pandava,Defoliators
-1,12210,European elm flea weevil,Orchestes alni,Defoliators
-1,12211,eucalyptus snout beetle,Gonipterus scutellatus,Defoliators
-1,12212,European pine needle midge,Contarinia baeri,Defoliators
-1,12213,European spruce needleminer,Epinotia nanana,Defoliators
-1,12214,European web-spinning larch sawfly,Cephalcia lariciphila,Defoliators
-1,12215,imported willow leaf beetle,Plagiodera versicolora,Defoliators
-1,12216,mimosa webworm,Homadaula anisocentra,Defoliators
-1,12217,poplar sawfly,Trichiocampus viminalis,Defoliators
-1,12218,red gum lerp psyllid,Glycaspis brimblecombei,Defoliators
-1,12219,European spruce sawfly,Gilpinia hercyniae,Defoliators
-1,12220,mountain-mahogany moth,Ethmia discostrigella,Defoliators
-1,12221,Myoporum thrips,Klambothrips myopori,Defoliators
-1,12222,koa looper moth,Scotorythra paludicola,Defoliators
-1,12223,bare-patched oak leafroller,Pseudexentera spoliana,Defoliators
